accountsservice 23.13.9-2.1
acpi 1.7-4.1
acpi_call 1.2.2-275.1
acpid 2.0.34-2.1
adobe-source-han-sans-cn-fonts 2.004-2
adobe-source-han-sans-jp-fonts 2.004-2
adobe-source-han-sans-kr-fonts 2.004-2
alacritty 0.15.1-1.1
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-4.1
alsa-utils 1.2.14-1.1
apostrophe 3.2-7
atac 0.19.0-1.1
awesome-git 4.3.1379.ga5c84896e-1
awesome-terminal-fonts 1.1.0-5
aylurs-gtk-shell-git 2.3.0.r1.g3ed9737-1
baobab 48.0-3.1
base 3-2
base-devel 1-2
bash-completion 2.16.0-1
bibata-cursor-theme 2.0.7-1
bind 9.20.8-2.1
blueman 2.4.4-1.1
bluetui 0.6-1.1
bluez 5.82-1.1
bluez-hid2hci 5.82-1.1
bluez-libs 5.82-1.1
bluez-utils 5.82-1.1
bpftune-git r598.688b122-1
brave-bin 1:1.78.94-1
bridge-utils 1.7.1-2.1
btop 1.4.2-1.1
btrfs-progs 6.14-1
cachy-browser 137.0.2-2
cachyos-fish-config 15-1
cachyos-hello 0.17.0-1
cachyos-hooks 2025.04.26-1
cachyos-kernel-manager 1.14.2-1
cachyos-keyring 20240331-1
cachyos-micro-settings 1.0.0-1
cachyos-mirrorlist 22-1
cachyos-packageinstaller 1.4.0-1
cachyos-plymouth-theme 1-1
cachyos-rate-mirrors 8-1
cachyos-settings 1:1.2.4-1
cachyos-v3-mirrorlist 22-1
cachyos-v4-mirrorlist 22-1
cachyos-wallpapers r16.42d1466-1
cachyos-zsh-config 1.0.2-1
cava 0.10.4-3.1
cheese 44.1-3.1
chwd 1.12.4-1
cloudflare-warp-nox-bin 2025.2.600-1
cloudflared 2025.4.0-1.1
cmatrix 2.0-3.1
cpupower 6.14-2
cpupower-gui-git 1.0.0.r24.gb44a198-1
cronie 1.7.2-1.1
cryptsetup 2.7.5-2.1
cursor-bin 0.49.6-1
device-mapper 2.03.32-1.1
dhclient 4.4.3.P1-4.1
diffutils 3.12-2
dissent-bin 0.0.32-1
dmidecode 3.6-1.5
dmraid 1.0.0.rc16.3-15.1
dnsmasq 2.91-1.1
docker 1:28.1.1-1.1
docker-buildx 0.23.0-1.1
docker-compose 2.35.1-1.1
dosfstools 4.2-5.1
downgrade 11.5.1-1
ducker 0.3.0-1.1
duf 0.8.1-3.1
dunst 1.12.2-1.1
e2fsprogs 1.47.2-2.1
efibootmgr 18-3.1
efitools 1.9.2-5.1
elasticsearch 9.0.1-1
equibop 2.1.2-1
ethtool 1:6.11-1.1
exfatprogs 1.2.8-1.1
f2fs-tools 1.16.0-3.1
fabric-cli-git 0.0.2-1
